species_name,genome_file_name,cds_file_name
ferecta,ferecta_genome.fna,ferecta_cds.fna
fnubica,fnubica_genome.fna,fnubica_cds.fna
psporulosa,psporulosa_genome.fna,psporulosa_cds.fna
slignohabitans,slignohabitans_genome.fna,slignohabitans_cds.fna
dconiospora,dconiospora_genome.fna,dconiospora_cds.fna
achevalieri,achevalieri_genome.fna,achevalieri_cds.fna
fmangiferae,fmangiferae_genome.fna,fmangiferae_cds.fna
vnonalfalfae,vnonalfalfae_genome.fna,vnonalfalfae_cds.fna
clupini,clupini_genome.fna,clupini_cds.fna
mscopiformis,mscopiformis_genome.fna,mscopiformis_cds.fna
tgamsii,tgamsii_genome.fna,tgamsii_cds.fna
plilacinum,plilacinum_genome.fna,plilacinum_cds.fna
alentulus,alentulus_genome.fna,alentulus_cds.fna
mpachydermatis,mpachydermatis_genome.fna,mpachydermatis_cds.fna
audagawae,audagawae_genome.fna,audagawae_cds.fna
tglobosa,tglobosa_genome.fna,tglobosa_cds.fna
cauris,cauris_genome.fna,cauris_cds.fna
coleaginosum,coleaginosum_genome.fna,coleaginosum_cds.fna
llanzarotensis,llanzarotensis_genome.fna,llanzarotensis_cds.fna
eoligosperma,eoligosperma_genome.fna,eoligosperma_cds.fna
vgallopava,vgallopava_genome.fna,vgallopava_cds.fna
espinifera,espinifera_genome.fna,espinifera_cds.fna
exenobiotica,exenobiotica_genome.fna,exenobiotica_cds.fna
cimmunda,cimmunda_genome.fna,cimmunda_cds.fna
emesophila,emesophila_genome.fna,emesophila_cds.fna
sapiospermum,sapiospermum_genome.fna,sapiospermum_cds.fna
uvirens,uvirens_genome.fna,uvirens_cds.fna
coxycetoniae,coxycetoniae_genome.fna,coxycetoniae_cds.fna
ophilodendri,ophilodendri_genome.fna,ophilodendri_cds.fna
hrhossiliensis,hrhossiliensis_genome.fna,hrhossiliensis_cds.fna
fradiculosa,fradiculosa_genome.fna,fradiculosa_cds.fna
tdelbrueckii,tdelbrueckii_genome.fna,tdelbrueckii_cds.fna
psolitum,psolitum_genome.fna,psolitum_cds.fna
cbeticola,cbeticola_genome.fna,cbeticola_cds.fna
aalternata,aalternata_genome.fna,aalternata_cds.fna
sludwigii,sludwigii_genome.fna,sludwigii_cds.fna
csubhashii,csubhashii_genome.fna,csubhashii_cds.fna
zrouxii,zrouxii_genome.fna,zrouxii_cds.fna
klactis,klactis_genome.fna,klactis_cds.fna
spombe,spombe_genome.fna,spombe_cds.fna
